jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
アイアンサイド大尉,艾恩赛德上尉,contextual,本作；详见使用限制,selected-tda03,2,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イカルガ閣下,斑鸠阁下,contextual,本作；详见使用限制,selected-tda03,3,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
インド,印度,contextual,本作；详见使用限制,selected-tda03,4,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウィル,威尔,contextual,本作；详见使用限制,selected-tda03,5,provisional-selected,,仅指人物威尔；不得匹配ウィルス等词的一部分；来自上一轮暂定专表，不是历史全量基线。
ウィルバート・コリンズ,威尔伯特·柯林斯,contextual,本作；详见使用限制,selected-tda03,6,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ,战犬,contextual,本作；详见使用限制,selected-tda03,7,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグス,战犬,contextual,本作；详见使用限制,selected-tda03,8,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ小隊,战犬小队,contextual,本作；详见使用限制,selected-tda03,9,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン,艾伦,contextual,本作；详见使用限制,selected-tda03,10,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス,艾伦·艾斯,contextual,本作；详见使用限制,selected-tda03,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス少尉,艾伦·艾斯少尉,contextual,本作；详见使用限制,selected-tda03,12,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-tda03,13,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
サラマンダー,蝾螈,contextual,本作；详见使用限制,selected-tda03,14,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
サラマンダー隊,蝾螈队,contextual,本作；详见使用限制,selected-tda03,15,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
シアトル,西雅图,contextual,本作；详见使用限制,selected-tda03,16,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
タコマ,塔科马,contextual,本作；详见使用限制,selected-tda03,17,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ダリル,达里尔,contextual,本作；详见使用限制,selected-tda03,18,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ダリル・マクマナス,达里尔·麦克马纳斯,contextual,本作；详见使用限制,selected-tda03,19,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ナイヴス１,黑刃1,contextual,本作；详见使用限制,selected-tda03,20,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ナイヴス２,黑刃2,contextual,本作；详见使用限制,selected-tda03,21,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハワイ,夏威夷,contextual,本作；详见使用限制,selected-tda03,22,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハンター,猎人,contextual,本作；详见使用限制,selected-tda03,23,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハンターズ,猎人队,contextual,本作；详见使用限制,selected-tda03,24,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
バビロン作戦,巴比伦作战,contextual,本作；详见使用限制,selected-tda03,25,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ヒル中尉,希尔中尉,contextual,本作；详见使用限制,selected-tda03,26,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フェザント,雉鸡,contextual,本作；详见使用限制,selected-tda03,27,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フェザント中隊,雉鸡中队,contextual,本作；详见使用限制,selected-tda03,28,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フェザント２,雉鸡2,contextual,本作；详见使用限制,selected-tda03,29,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フランス人,法国人,contextual,本作；详见使用限制,selected-tda03,30,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フランス代表,法国代表,contextual,本作；详见使用限制,selected-tda03,31,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フランス軍,法军,contextual,本作；详见使用限制,selected-tda03,32,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ブライアン,布莱恩,contextual,本作；详见使用限制,selected-tda03,33,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ブラックナイヴス,黑刃,contextual,本作；详见使用限制,selected-tda03,34,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ブラックナイヴス小隊,黑刃小队,contextual,本作；详见使用限制,selected-tda03,35,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ブラックバード,黑鸟,contextual,本作；详见使用限制,selected-tda03,36,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ホーンド,号角,contextual,本作；详见使用限制,selected-tda03,37,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ホーンド中隊,号角中队,contextual,本作；详见使用限制,selected-tda03,38,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ホーンド３,号角3,contextual,本作；详见使用限制,selected-tda03,39,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ボクサー,拳师号,contextual,本作；详见使用限制,selected-tda03,40,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ボーニング社,波音公司,contextual,本作；详见使用限制,selected-tda03,41,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
メルヴィナ,梅尔维娜,contextual,本作；详见使用限制,selected-tda03,42,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
メルヴィナ・アードヴァニー,梅尔维娜·阿德瓦尼,contextual,本作；详见使用限制,selected-tda03,43,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ユーラシア,欧亚大陆,contextual,本作；详见使用限制,selected-tda03,44,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ラトルスネーク,响尾蛇,contextual,本作；详见使用限制,selected-tda03,45,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ラトルスネーク１,响尾蛇1,contextual,本作；详见使用限制,selected-tda03,46,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
リヴィエール大尉,里维埃上尉,contextual,本作；详见使用限制,selected-tda03,47,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
リーナ,莉娜,contextual,本作；详见使用限制,selected-tda03,48,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ロレーヌ,洛林,contextual,本作；详见使用限制,selected-tda03,49,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
一郎,一郎,contextual,本作；详见使用限制,selected-tda03,50,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
伍長,伍长,contextual,本作；详见使用限制,selected-tda03,51,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
