call_order,id,egpack,scene,speaker_jp,source_text_sha256,record_kind,cn_text
1,tda03_t00000,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,72029E8DE69C8ADA7B7AEAEB5D0DE6CDBB044088F4191ACAE09AFAAD0069F433,text,「OSP-1400，这里是北美防空司令部，能听到吗？这里是北美防空司令部」
2,tda03_t00001,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,431A4149F32BD877FC029F514142B0957D498E602D64E4A30BEA2EF608DB8A49,text,「OSP-1400，这里是北美防空司令部，听不到吗？——不行，传不过去啊……」
3,tda03_t00002,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,AC1C374E345B5509F1C0FC954040068CDA481CFA8ECD14D461A183EE4615591B,text,"「北美防空司令部，这里是""OSP-1400""。听到了，请讲」"
4,tda03_t00003,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,EE26546B380EEB21793CA75E29FD11A62B599B1FF3E25A49472F7D85EEF1A8E3,text,"「北美防空司令部，这里是""OSP-1400""。重复，这里是""OSP-1400""。北美防空司令部，能听到吗？」"
5,tda03_t00004,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,C157A06252EEE7D70B52959066729319766D0008ADFCA364DF8E48B08A403FD2,text,「——这里是北美防空司令部，听到了。你那边信号清晰度如何？」
6,tda03_t00005,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,647E55CB230E68CAA488A4722C6F68AC6FE30DBD786308EE61536ACA0FAD1F29,text,「清晰度4，能听清。看来已经稳定了」
7,tda03_t00006,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,2C8382A905189C16937EEA21DC1A4FC8CDCBCCC2C76E49F672C36963DEC2F0A2,text,「——好久不见，上次是什么时候来着？」
8,tda03_t00007,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,186DDE37C30B30706B80B53C1DA9A49B655F1DCB33DC5F15D3C4822AA312894B,text,「两周。准确说是341小时前」
9,tda03_t00008,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,A89D9037E6D9A91729171F8EC73C1F2915A943DFE54F18B74D54BC2528F083E9,text,「这样啊……话说艾丽莎呢？我记得应该是她的轮班才对」
10,tda03_t00009,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,402719C00BF60C0827EB5DD2BFAFA58BBD0FA4C6446B24BD6B6B9C32C8655245,text,「压力状态太严重了。让她强制休眠了」
11,tda03_t00010,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,3C45212CCB65D633B156AC797B86CB884DFC9153917A15DA12A45ACEF08BFF49,text,「不要紧吗……？」
12,tda03_t00011,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,0DFA197BBCD5C414B54DC1B71772081054FA5C59ABC5E33B85E1E5BEF7ECBCD0,text,「……不知道。总之暂时没法用了。都已经到把枪塞进嘴里的地步了……真想尽早让她回到地面啊……」
13,tda03_t00012,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,2F5DDCA1C317CAB54825B04E30D23EB62EC14CC07128C6CBC0DF4BC4AF52DB26,text,「…………」
14,tda03_t00013,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,EC99DCDD86D5087F40FDE548F0052F10E49BC59A307E9DA256D1919CE7C27FF3,text,「好了，观测数据更新了。确认一下。虽然没什么好消息」
15,tda03_t00014,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,F7B513B3A5EF8295F8B8D00E0EAC6121B90FC19DE3127CEAB457653287A0CEF9,text,「——了解。……正在接收数据。话说，除了艾丽莎以外其他人都还好吗？」
16,tda03_t00015,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,275A34737C15EE35ED1B8754CE46CACA65889C08CFF9E48467B0E6626AF0C469,text,「目前还好。但只是时间问题吧……氧气、食物、水，什么都快到极限了」
17,tda03_t00016,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,E835860C0CEE6229943E40D00C5665BA8F05CAE6C485C85A5DCCE9E84E866E98,text,「数据接收完成。开始文件核查——无论如何请撑住。只要熬到磁暴平息就行了」
18,tda03_t00017,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,6A5DF58A496F9AADCDDE59191584A14E4AE8C8DF29BE26622D242510DD1434B2,text,「谁知道什么时候平息啊——不，说不定就这么一直……真是，没想到补给遥遥无期会带来这么大的压力……」
19,tda03_t00018,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,8D96549FF716EFEEC935D2BC9D6E3341670CCB038AF1A4D1AF32DB1E93951B5D,text,「放心吧。我们这边也半斤八两。毕竟是被遗弃在低氧地带的陆上孤岛」
20,tda03_t00019,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,C1865166849A4B0017C078C69E3DB7D70E42BED06A930C4ECDAE718EB5AB639D,text,「……这样啊」
21,tda03_t00020,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,6A31315F0B34311C28254DD7412E45180266D67A954925AA605F764150D84887,text,「不戴氧气面罩出去的话，会失去意识，转眼就完蛋。逼急了跟你们一样。只能全员冷冻睡眠处理了」
22,tda03_t00021,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,EC89855A9D248F65E759D75D960D855DD16F3DB8C1647673190BF25BBE64BE9E,text,「那还不是完全的技术。有可能无法复苏——」
23,tda03_t00022,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,1DA996CA05608B259D786065F497D5D5147DDBA9E6DEB263B6DA0EFA2850CF5B,text,「开玩笑啦，别生气。作为赔礼有个好消息。从西雅图刚传来的情报」
24,tda03_t00023,2005年01月01日_01：北米航空宇宙防衛司令部現在.egpack,2005年01月01日_01：北米航空宇宙防衛司令部現在,,63DE1AEA7A72B4C9B1A70F06C2606394434AC24AD2EF69969796E28FD04E026B,text,「……什么？」
