jp,cn,context
インド,印度,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウィル,威尔,仅指人物威尔；不得匹配ウィルス等词的一部分
ウィルバート・コリンズ,威尔伯特·柯林斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウィルバート・Ｄ・コリンズ,威尔伯特·D·柯林斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オールストン准将,奥尔斯顿准将,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オール・ナイヴス,黑刃全机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オール・バスターズ,破坏者全机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
カレン・グラーノ,卡伦·格拉诺,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
キング,国王号,仅指相应舰名/呼号；不是普通名词 king 的统一译法
グラハム・ローゼンバーグ,格雷厄姆·罗森伯格,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ケネディ,肯尼迪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ケネディ・コントロール,肯尼迪管制,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ケネディ・ホテル,肯尼迪旅馆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ゲティスバーグ,葛底斯堡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
コリンズ,柯林斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
コード８１１,代码811,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ゴルフセット,高尔夫套件,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ゴーファー・ステート,戈弗州,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シアトル,西雅图,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シェルベリ,谢尔贝里,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シドニー,悉尼,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジャンヌ・デュカス,让娜·迪卡斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジョン・Ｆ・ケネディ,约翰·F·肯尼迪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジョージ・オールストン,乔治·奥尔斯顿,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジョージ・ワシントン,乔治·华盛顿,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジーン・カミンスキー,吉恩·卡明斯基,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ズムウォルト,朱姆沃尔特,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ソルティ・ベース,索尔蒂基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル,达里尔,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル・ザ・ビッグマム・マクマナス,达里尔·“Big Mom”·麦克马纳斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル・マクマナス,达里尔·麦克马纳斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ダリル・Ａ・マクマナス,达里尔·A·麦克马纳斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
デニス・モンロー,丹尼斯·门罗,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス,黑刃,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス・リード,黑刃长机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス１,黑刃1,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス２,黑刃2,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス３,黑刃3,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス３カタパルト,黑刃3弹射器,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ニミッツ,尼米兹,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハワイ,夏威夷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バスターズ,破坏者队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バスター１,破坏者1,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バスター２,破坏者2,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン,巴比伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン作戦,巴比伦作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビッグマム・コンビ,Big Mom组合,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビッグ・ケネディ,大肯尼迪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビッグ・マム２,Big Mom 2号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ビーコン,信标,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ピクニック・プラン,野餐计划,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フィリピン,菲律宾,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フェデリカ・ベクレル,费德丽卡·贝克勒尔,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フライング・ブーム作戦,飞杆作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブラック・ナイヴス,黑刃,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブラディ・ナイトメア,血色噩梦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブルーオーシャン,蓝海,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ブルーオーシャン作戦,蓝海作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
プランＤ,D计划,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ホテル・ケネディ,肯尼迪旅馆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
マクマナス中尉,麦克马纳斯中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
マリア,玛丽亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
マルドゥーク,马尔杜克,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
メモリアル・デイ,阵亡将士纪念日,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
メルヴィナ,梅尔维娜,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
メルヴィナ・アードヴァニー,梅尔维娜·阿德瓦尼,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
モン・サン・ミシェル,圣米歇尔山,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
モード・オート・スペシャル,自动特殊模式,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ヤンキー・ステーション,扬基站,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ユーラシア,欧亚大陆,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ヨコハマ,横滨,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リリア,莉莉娅,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リリア・シェル,莉莉娅·谢尔,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リリア・シェルベリ,莉莉娅·谢尔贝里,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レイジング・バスターズ,狂怒破坏者队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レナード,伦纳德,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レナード・ヴァンゴーア,伦纳德·梵高尔,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
レベル４,第4层,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ローゼンバーグ,罗森伯格,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
上陸部隊,登陆部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
伍長,下士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；2026-09-09 本篇/AL对齐及中文军衔修订，历史基线不回写。
儀杖隊,仪仗队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
分遣隊,分遣队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
分隊編成,分队编成,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
南太平洋,南太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
合衆国,合众国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
合衆国海兵隊,合众国海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
太平洋,太平洋,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
弔銃隊,鸣枪队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機分隊,战术机分队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機小隊,战术机小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機母艦,战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機隊,战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術歩行戦闘機隊,战术步行战斗机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
本艦海兵隊,本舰海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
機分隊,机分队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
機械化装甲歩兵部隊,机械化装甲步兵部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
歩兵小隊,步兵小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
母艦戦術機隊,母舰战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
母艦打撃群司令部,母舰打击群司令部,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
決死隊,敢死队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵分遣隊,海军陆战队分遣队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵戦術機隊,海军陆战队战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵隊員,海军陆战队员,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵隊少尉,海军陆战队少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵隊歩兵小隊,海军陆战队步兵小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海兵隊陸戦部隊,海军陆战队陆战部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍戦術機部隊,海军战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍戦術機隊,海军战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍補給部隊,海军补给部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍駐留拠点,海军驻留据点,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第３海兵連隊,第3海军陆战队团,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第３１８戦術機隊,第318战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第３１８海兵戦術機隊,第318海军陆战队战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第５３６戦術機隊,第536战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
第５３６海兵戦術機隊,第536海军陆战队战术机队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国,美国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国人,美国人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海兵隊,美国海军陆战队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国海兵隊員,美国海军陆战队员,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米国軍人,美国军人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍,美军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
米軍衛士,美军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
英国,英国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
衛士たち,卫士们,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
豪州,澳洲,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
軍葬,军葬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
部隊葬,部队葬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
騎兵隊,骑兵队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
Ｂ小隊,B小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
