jp,cn,context
アイアンサイド大尉,艾恩赛德上尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
イーグル,鹰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグス,战犬,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ小隊,战犬小队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ウォードッグ隊,战犬队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン,艾伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス,艾伦·艾斯,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
エレン・エイス少尉,艾伦·艾斯少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
オーストラリア,澳大利亚,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
クレイン,鹤,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
クレイン中隊,鹤中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シアトル,西雅图,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
シェルベリ,谢尔贝里,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ジョン・Ｆ・ケネディ,约翰·F·肯尼迪,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
タコマ,塔科马,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイトオウル,夜枭,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス・リード,黑刃长机,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ナイヴス１,黑刃1,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハワイ,夏威夷,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ハンター,猎人,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン,巴比伦,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
バビロン作戦,巴比伦作战,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ヒル中尉,希尔中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フェザント,雉鸡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フォートルイス,刘易斯堡,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フォートルイス基地,刘易斯堡基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フォートルイス米軍基地,刘易斯堡美军基地,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
フランス軍,法军,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ボクサー,拳师号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
マクガイヤ准将,麦圭尔准将,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
ミラージュ,幻影,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
リリア・シェルベリ,莉莉娅·谢尔贝里,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
一郎,一郎,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂,千堂,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂少尉,千堂少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香,千堂柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
千堂柚香少尉,千堂柚香少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
古手川先生,古手川老师,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
合衆国,合众国,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大上中尉,大上中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大上律子中尉,大上律子中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
大尉,上尉,030_２００５年１２月０２日（金）_032_食堂 / 030_２００５年１２月０２日（金）_034_演習後デブリーフィング / 050_２００５年１２月０４日（日）_058_シミュレーター特訓後のデブリーフィング / 080_２００５年１２月０８日（木）_086_米軍デブリーフィング / 090_２００５年１２月０９日（金）_090_駒木との会談 / 090_２００５年１２月０９日（金）_093_丘の上にてエレンと / 100_２００５年１２月１０日（土）_102_まりもと食事 / 110_２００５年１２月１１日（日）_116_丘の上・駒木、まりもとの会話を回想 / 120_２００５年１２月２２日（木）_121_レセプション・ウォーケン登場 / 120_２００５年１２月２２日（木）_127_ブリーフィングルームにて作戦説明 / 120_２００５年１２月２２日（木）_131_序盤戦 / 120_２００５年１２月２２日（木）_135_響吶喊 / 120_２００５年１２月２２日（木）_140_まりもと合流 / 120_２００５年１２月２２日（木）_147_プラント外３島嶼地区 / 120_２００５年１２月２２日（木）_148_安全確保 / 150_２００５年１２月２４日（土）_150_プラント脱出後、米軍と日本軍 / 150_２００５年１２月２４日（土）_152_格納庫にて待機する響 / 150_２００５年１２月２４日（土）_162_駒木の苦悩 / 150_２００５年１２月２４日（土）_174_ナウシカ / 150_２００５年１２月２４日（土）_175_フランス・リヴィエール大尉；旧 TDA 交接记录已确认；仅在本作命中范围使用。；来源 tda-shared-decisions:13。仅作语境审校参考，不自动替换。
寺本,寺本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
巴少尉,巴少尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国軍兵士,帝国军士兵,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国軍衛士,帝国军卫士,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
帝国陸軍特殊作戦団第一歩兵連隊第一中隊,帝国陆军特殊作战团第一步兵连第一中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
強襲揚陸艦ボクサー,强袭登陆舰拳师号,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
悠陽,悠阳,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
悠陽殿下,悠阳殿下,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機母艦,战术机母舰,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
戦術機部隊,战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
整備班長,整备班长,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斑鳩,斑鸠,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
斑鳩閣下,斑鸠阁下,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
日本帝国欧州派遣軍イーグル中隊,日本帝国欧洲派遣军鹰中队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
月詠中尉,月咏中尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風,松风,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
松風諒一,松风谅一,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
柚香,柚香,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
楠本,楠本,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
楠本さやか,楠本沙也加,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
沙霧大尉,沙雾上尉,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
浅葱,浅葱,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
海軍戦術機部隊,海军战术机部队,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文
