jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
アイアンサイド大尉,艾恩赛德上尉,contextual,本作；详见使用限制,selected-tda02,2,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
イーグル,鹰,contextual,本作；详见使用限制,selected-tda02,3,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ,战犬,contextual,本作；详见使用限制,selected-tda02,4,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグス,战犬,contextual,本作；详见使用限制,selected-tda02,5,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ小隊,战犬小队,contextual,本作；详见使用限制,selected-tda02,6,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ隊,战犬队,contextual,本作；详见使用限制,selected-tda02,7,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン,艾伦,contextual,本作；详见使用限制,selected-tda02,8,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス,艾伦·艾斯,contextual,本作；详见使用限制,selected-tda02,9,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
エレン・エイス少尉,艾伦·艾斯少尉,contextual,本作；详见使用限制,selected-tda02,10,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-tda02,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
クレイン,鹤,contextual,本作；详见使用限制,selected-tda02,12,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
クレイン中隊,鹤中队,contextual,本作；详见使用限制,selected-tda02,13,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
シアトル,西雅图,contextual,本作；详见使用限制,selected-tda02,14,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
シェルベリ,谢尔贝里,contextual,本作；详见使用限制,selected-tda02,15,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ジョン・Ｆ・ケネディ,约翰·F·肯尼迪,contextual,本作；详见使用限制,selected-tda02,16,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
タコマ,塔科马,contextual,本作；详见使用限制,selected-tda02,17,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ナイトオウル,夜枭,contextual,本作；详见使用限制,selected-tda02,18,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ナイヴス・リード,黑刃长机,contextual,本作；详见使用限制,selected-tda02,19,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ナイヴス１,黑刃1,contextual,本作；详见使用限制,selected-tda02,20,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハワイ,夏威夷,contextual,本作；详见使用限制,selected-tda02,21,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ハンター,猎人,contextual,本作；详见使用限制,selected-tda02,22,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
バビロン,巴比伦,contextual,本作；详见使用限制,selected-tda02,23,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
バビロン作戦,巴比伦作战,contextual,本作；详见使用限制,selected-tda02,24,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ヒル中尉,希尔中尉,contextual,本作；详见使用限制,selected-tda02,25,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フェザント,雉鸡,contextual,本作；详见使用限制,selected-tda02,26,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フォートルイス,刘易斯堡,contextual,本作；详见使用限制,selected-tda02,27,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フォートルイス基地,刘易斯堡基地,contextual,本作；详见使用限制,selected-tda02,28,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フォートルイス米軍基地,刘易斯堡美军基地,contextual,本作；详见使用限制,selected-tda02,29,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
フランス軍,法军,contextual,本作；详见使用限制,selected-tda02,30,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ボクサー,拳师号,contextual,本作；详见使用限制,selected-tda02,31,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
マクガイヤ准将,麦圭尔准将,contextual,本作；详见使用限制,selected-tda02,32,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ミラージュ,幻影,contextual,本作；详见使用限制,selected-tda02,33,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
リリア・シェルベリ,莉莉娅·谢尔贝里,contextual,本作；详见使用限制,selected-tda02,34,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
一郎,一郎,contextual,本作；详见使用限制,selected-tda02,35,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
千堂,千堂,contextual,本作；详见使用限制,selected-tda02,36,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
千堂少尉,千堂少尉,contextual,本作；详见使用限制,selected-tda02,37,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
千堂柚香,千堂柚香,contextual,本作；详见使用限制,selected-tda02,38,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
千堂柚香少尉,千堂柚香少尉,contextual,本作；详见使用限制,selected-tda02,39,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
古手川先生,古手川老师,contextual,本作；详见使用限制,selected-tda02,40,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
合衆国,合众国,contextual,本作；详见使用限制,selected-tda02,41,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
大上中尉,大上中尉,contextual,本作；详见使用限制,selected-tda02,42,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
大上律子中尉,大上律子中尉,contextual,本作；详见使用限制,selected-tda02,43,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
寺本,寺本,contextual,本作；详见使用限制,selected-tda02,44,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
巴少尉,巴少尉,contextual,本作；详见使用限制,selected-tda02,45,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
帝国軍兵士,帝国军士兵,contextual,本作；详见使用限制,selected-tda02,46,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
帝国軍衛士,帝国军卫士,contextual,本作；详见使用限制,selected-tda02,47,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
帝国陸軍特殊作戦団第一歩兵連隊第一中隊,帝国陆军特殊作战团第一步兵连第一中队,contextual,本作；详见使用限制,selected-tda02,48,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
強襲揚陸艦ボクサー,强袭登陆舰拳师号,contextual,本作；详见使用限制,selected-tda02,49,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
悠陽,悠阳,contextual,本作；详见使用限制,selected-tda02,50,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
悠陽殿下,悠阳殿下,contextual,本作；详见使用限制,selected-tda02,51,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
戦術機母艦,战术机母舰,contextual,本作；详见使用限制,selected-tda02,52,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
戦術機部隊,战术机部队,contextual,本作；详见使用限制,selected-tda02,53,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
整備班長,整备班长,contextual,本作；详见使用限制,selected-tda02,54,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
斑鳩,斑鸠,contextual,本作；详见使用限制,selected-tda02,55,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
斑鳩閣下,斑鸠阁下,contextual,本作；详见使用限制,selected-tda02,56,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
