call_order,id,egpack,scene,speaker_jp,jp_text,cn_text,review_status,audit_flags
1,game_t00000,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「どうだ…\w…\w？　例のものは――」,「情况如何……？那个东西呢——」,OK,
2,game_t00001,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「――は。現在、\wまだ見つかっておりません…\w…\w」,「——是。目前还未找到……」,OK,
3,game_t00002,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「こちら３班。――ウェストウイングにて大統領夫人の遺体を発見」,「这里是3班。在西翼发现了总统夫人的遗体」,OK,
4,game_t00003,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「間違いないのか？」,「确定吗？」,OK,
5,game_t00004,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「事前に採取していたＤＮＡデータと一致しています」,「与事先采集的DNA数据一致」,OK,
6,game_t00005,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「…\w…\w良いニュースだ。捜索を継続してくれ」,「……好消息。继续搜索」,OK,
7,game_t00006,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「――は！」,「——是！」,OK,
8,game_t00007,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「混乱していたのは間違いない、\wか…\w…\w」,「看来确实一片混乱啊……」,OK,
9,game_t00008,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「絶対に見つけろ。それが祖国に忠誠を示すことになる」,「一定要找到。那是对祖国效忠的表现」,OK,
10,game_t00009,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「――了解」,「——明白」,OK,
11,game_t00010,010_プロローグ_010_タイトル前のプレ・プロローグ.egpack,010_プロローグ_010_タイトル前のプレ・プロローグ,,「この地を制圧するのは至難の業かもしれない…\w…\wが、あれを手に入れた者が、\wこの世界を制す者となる…\w…\w」,「要压制这片土地也许难如登天……但得到那个东西的人，将成为统治这个世界的人……」,OK,
