game,call_order,id,egpack,scene,source_text_sha256,audit_categories,review_status
TDA00,1,game_t00000,010_UAFプロローグ.egpack,010_UAFプロローグ,764D11BD1670AACD9F6BF3E8466170A2E1D6C702544A01AF5A63D419D1E39C7E,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,2,game_t00001,010_UAFプロローグ.egpack,010_UAFプロローグ,DDB4E98901435A03AD3EE0E080CA53EA7C59CAF825B03420061D706704047EDC,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,17,game_t00016,010_UAFプロローグ.egpack,010_UAFプロローグ,2E27A843A177D9B9E4E8B4C84084BEF77D7EC90BBFAFC6CC6D06D0F0F2D487E4,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,31,game_t00030,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,2FF9E357515E6EF73E6DFBD82953B3586C037B81C60C642AD3DBD7D542ED38A7,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,48,game_t00047,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,3A16137FB95DB9A801AA283EB3127227167A46584B493CBE24DA0CE135A45BFE,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,133,game_t00132,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,0C36FBC418B36835BB93C092E3287A5755588CB49A578E50BD0CE5575B3C115D,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,157,game_t00156,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,5484B7CE5B3B628FA912C3EC08E5ED0E5A72FD826776D5A56E21094930E80490,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,192,game_t00191,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,ED9A73EBF840EEAB05D1468A22DAFAA326F7413E95731526B8F88336C3E4D902,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,456,game_t00455,020_UAF_DAY91_01.egpack,020_UAF_DAY91_01,EE1F4AA3CA59C717567A542E242A8C8EE62214F052188516D93822A110960136,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,650,game_t00649,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,C51BC2A2DB2E04E0557E1C41B93CFA78D8985F30D783551FE3633FED802120E8,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,674,game_t00673,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,7EE837E7B9B58A1404987B88BC8DFD659301972D2350405BFF4755F3352F546E,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,692,game_t00691,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,F1191E9CC663B28FB5D4599905E7259AC7DE1DEABFE50058C1452734BED90DB2,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,740,game_t00739,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,5162235DC0048C09B299CAAE40D42ED3875C3F988A3C736A96B54EEEA35E1E7C,quote:cn_added_corner_quote;symbol:symbol_count_mismatch,pending_manual_review
TDA00,759,game_t00758,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,23E57039E54B6C791C1FA9B2585D56FBF2D46DB98EE25D9F26F5CD4F7F1D56A6,quote:inner_double_corner_quote_missing;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
TDA00,801,game_t00800,030_UAF_DAY93_01.egpack,030_UAF_DAY93_01,A2C786CC678179447A98BB31F9FFF6BAE7AF07F745AC40CF247224B0675651DA,quote:inner_double_corner_quote_changed;symbol:jp_double_corner_quote_missing_or_changed,pending_manual_review
