binding_id,kind,translated_text,cn_annotations,review_scope,jp_utf8_sha256,en_utf8_sha256
pm:vm:photonmelodies11.rio.002:1214632544:00000308:00001,cvm,有人曾这样说――这世上才是真正的地狱。<01>,[],layout_only,c19fcae63858490ac7872ef8889d8e8b5b0fe1ce0ab48e8ab01a9d921fe8098b,feda76646c57d50423bc6bb67b30df6752ef3680bf5068d4dd8539950648189d
pm:vm:photonmelodies11.rio.002:1214632544:00000380:00002,cvm,如今，人类正被来自宇宙的生命体逼至灭亡边缘。<01>,[],layout_only,b6dd60843489f403df655b2af43007bcc1e4c3a29249b995e1ba1ac4bcbb5e83,e43aad82aca3bf5ed05dfe1f8a496e81107c070820985d36ba3aaae288111ffd
pm:vm:photonmelodies11.rio.002:1214632544:00000512:00003,cvm,欧亚大陆被烧毁、踏平，<0A>数以亿计的人被异星起源种活生生吞噬殆尽。<01>,[],layout_only,2636c4d61852b4216117df8857b0707c83934e2181e83dd1b46aa9ca29bd1808,6b59e29ba5e70785a72ffd2468930667564b8df99f6d47ce4f8005c90f1ff672
pm:vm:photonmelodies11.rio.002:1214632544:00000556:00004,cvm,若这还不算地狱，那还有什么才算地狱――<01>,[],layout_only,fb37cb2d6b94a3c216e2bf3b01e3b97dedc457015fadf5313ac19d33b7fbd681,8d63304c13d44e7e317409777d75c251baadf4fa311ddd87fbde05369f1181f4
pm:vm:photonmelodies11.rio.002:1214632544:00000600:00005,cvm,又有人说，最后的审判已经开始――<01>,[],layout_only,4f0a5e785e102c9dac5f2a1c7a3af1b8640e3212af948a98bd0a737cd56b6f1a,1e3878eedc6b6ecd0a698f2501a6de143909f1d54cb6e71941adffb0e7825697
pm:vm:photonmelodies11.rio.002:1214632544:00000644:00006,cvm,自天而降的异星起源种，正是神降下的试炼，<0A>是主派来的“苍白马上的骑士”。<01>,[],layout_only,c1b7d10d433d9f3f566abbc99b81282c5265a5e372a01e6bdba97e683d8c91ae,9b7eb18e2d616160577a6f19495d92f18e5835231fa64915e22e4184a445829b
pm:vm:photonmelodies11.rio.002:1214632544:00000688:00007,cvm,不要反抗――接受命运的时刻已经到了。他们这样说。<01>,[],layout_only,136ec7c5046e27489cd45fa97eeb038d69306b86ab9651c4e55906f95fb8f1d5,fba6a9f5a13767c75c531fb83724ee2495c6bd67765a9a5b57d99a99fbb7a756
pm:vm:photonmelodies11.rio.002:1214632544:00000968:00008,cvm,【西尔维奥】「……………………」<01>,[],layout_only,fa6754427a3b3e4fad7cc9066b63e5d4bbdb99e1b543d843f85ac02027c4cebf,524c6c797c598891bfc9c31433d8d97b734a0d11f788f3b629cbcf4c3b3a3889
pm:vm:photonmelodies11.rio.002:1214632544:00001012:00009,cvm,倘若这世上就是地狱，那就等于说全人类都是罪人。<01>,[],layout_only,f3b9c9b95a7475938d82dd32bb74b70592db8116645c543b104f68d65027d887,648261f51ab3a7d8f33a025c51bc5548193f26de2678c6400673024badd6c6e6
pm:vm:photonmelodies11.rio.002:1214632544:00001056:00010,cvm,如果当今世界正是《启示录》所描绘的末世，<0A>那么那些未蒙召进入神国、<0A>反而随着欧亚大陆一同被扫灭的人，<0A>岂不全都成了罪孽深重之人。<01>,[],layout_only,c5b65ae0c6707c41eaea579d167117e34f69a298cb053973485e003e379d0be5,594d754380b018d632553d67f0764e662ce398ac8f175caa453c6ca9ea7e5e24
