jp,cn,status,chapter,source,source_row,source_status,occurrences,basis
インド,印度,contextual,本作；详见使用限制,selected-tda00,2,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウィル,威尔,contextual,本作；详见使用限制,selected-tda00,3,provisional-selected,,仅指人物威尔；不得匹配ウィルス等词的一部分；来自上一轮暂定专表，不是历史全量基线。
ウィルバート・コリンズ,威尔伯特·柯林斯,contextual,本作；详见使用限制,selected-tda00,4,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウィルバート・Ｄ・コリンズ,威尔伯特·D·柯林斯,contextual,本作；详见使用限制,selected-tda00,5,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ウォードッグ,战犬,contextual,本作；详见使用限制,selected-tda00,6,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オーストラリア,澳大利亚,contextual,本作；详见使用限制,selected-tda00,7,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オールストン准将,奥尔斯顿准将,contextual,本作；详见使用限制,selected-tda00,8,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オール・ナイヴス,黑刃全机,contextual,本作；详见使用限制,selected-tda00,9,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
オール・バスターズ,破坏者全机,contextual,本作；详见使用限制,selected-tda00,10,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
カレン・グラーノ,卡伦·格拉诺,contextual,本作；详见使用限制,selected-tda00,11,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
キング,国王号,contextual,本作；详见使用限制,selected-tda00,12,provisional-selected,,仅指相应舰名/呼号；不是普通名词 king 的统一译法；来自上一轮暂定专表，不是历史全量基线。
グラハム・ローゼンバーグ,格雷厄姆·罗森伯格,contextual,本作；详见使用限制,selected-tda00,13,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ケネディ,肯尼迪,contextual,本作；详见使用限制,selected-tda00,14,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
ケネディ・コントロール,肯尼迪管制,contextual,本作；详见使用限制,selected-tda00,15,provisional-selected,,仅作翻译审校参考；确认对应专名/军事称谓后使用，不自动替换正文；来自上一轮暂定专表，不是历史全量基线。
